"","date","Depth","nrecs","MeanTemp","MinTemp","MaxTemp","bin","MeanPDT"
"1",2020-08-14,0,11,16.5063636363636,15.56,17.59,1,16.575
"2",2020-08-14,4,2,16.83,16.83,16.83,2,16.83
"3",2020-08-14,8,1,14.04,14.04,14.04,3,14.04
"4",2020-08-14,12,2,14.925,14.54,15.31,4,14.925
"5",2020-08-14,20,1,14.04,14.04,14.04,5,14.04
"6",2020-08-14,24,4,14.415,14.29,14.54,6,14.415
"7",2020-08-14,28,3,14.29,14.29,14.29,7,14.29
"8",2020-08-14,36,1,13.78,13.78,13.78,8,13.78
"9",2020-08-14,40,4,13.5925,13.02,14.04,9,13.53
"10",2020-08-14,44,7,13.5642857142857,12.51,14.04,10,13.275
"11",2020-08-14,48,3,13.78,13.78,13.78,11,13.78
"12",2020-08-14,52,8,13.33875,12.51,14.04,12,13.275
"13",2020-08-14,56,3,13.2733333333333,12.51,14.04,13,13.275
"14",2020-08-15,0,13,16.0884615384615,15.56,16.58,1,16.07
"15",2020-08-15,8,3,15.39,15.05,15.81,2,15.43
"16",2020-08-15,12,2,14.54,14.54,14.54,3,14.54
"17",2020-08-15,16,2,14.415,14.29,14.54,4,14.415
"18",2020-08-15,20,2,14.165,14.04,14.29,5,14.165
"19",2020-08-15,24,1,14.29,14.29,14.29,6,14.29
"20",2020-08-15,28,3,13.95,13.27,14.29,7,13.78
"21",2020-08-15,32,4,14.225,13.78,14.54,8,14.16
"22",2020-08-15,36,9,14.0088888888889,13.02,14.54,9,13.78
"23",2020-08-15,40,1,12.51,12.51,12.51,10,12.51
"24",2020-08-15,44,1,13.27,13.27,13.27,11,13.27
"25",2020-08-15,48,3,12.4266666666667,12.26,12.51,12,12.385
"26",2020-08-15,52,1,12.77,12.77,12.77,13,12.77
"27",2020-08-15,60,2,12.13,12,12.26,14,12.13
"28",2020-08-16,0,18,15.605,15.31,16.32,1,15.815
"29",2020-08-16,4,6,15.5183333333333,15.31,15.81,2,15.56
"30",2020-08-16,8,3,15.3933333333333,15.31,15.56,3,15.435
"31",2020-08-16,12,6,15.0116666666667,14.54,15.31,4,14.925
"32",2020-08-16,16,1,14.8,14.8,14.8,5,14.8
"33",2020-08-16,20,2,14.795,14.54,15.05,6,14.795
"34",2020-08-16,24,3,14.2066666666667,13.78,14.8,7,14.29
"35",2020-08-16,28,5,13.988,13.53,14.29,8,13.91
"36",2020-08-16,32,5,13.988,13.78,14.04,9,13.91
"37",2020-08-16,36,2,13.655,13.27,14.04,10,13.655
"38",2020-08-16,40,5,13.326,12.51,14.04,11,13.275
"39",2020-08-16,44,1,12.26,12.26,12.26,12,12.26
"40",2020-08-16,48,1,12.26,12.26,12.26,13,12.26
"41",2020-08-16,60,2,12,12,12,14,12
"42",2020-08-17,0,20,15.954,15.31,16.32,1,15.815
"43",2020-08-17,4,11,15.7190909090909,15.56,15.81,2,15.685
"44",2020-08-17,8,8,15.465,15.05,15.81,3,15.43
"45",2020-08-17,12,12,15.3083333333333,15.05,15.56,4,15.305
"46",2020-08-17,16,6,14.9666666666667,14.54,15.31,5,14.925
"47",2020-08-17,20,1,15.31,15.31,15.31,6,15.31
"48",2020-08-17,24,1,14.8,14.8,14.8,7,14.8
"49",2020-08-17,44,1,13.78,13.78,13.78,8,13.78
"50",2020-08-18,0,20,16.1325,16.07,16.32,1,16.195
"51",2020-08-18,4,6,15.94,15.81,16.07,2,15.94
"52",2020-08-18,8,5,15.41,15.31,15.56,3,15.435
"53",2020-08-18,12,12,15.2666666666667,14.8,15.56,4,15.18
"54",2020-08-18,16,14,15.18,14.8,15.56,5,15.18
"55",2020-08-18,20,1,14.8,14.8,14.8,6,14.8
"56",2020-08-18,24,1,14.54,14.54,14.54,7,14.54
"57",2020-08-18,28,1,14.04,14.04,14.04,8,14.04
"58",2020-08-19,0,22,16.1154545454545,16.07,16.32,1,16.195
"59",2020-08-19,4,10,16.044,15.56,16.32,2,15.94
"60",2020-08-19,8,3,15.8166666666667,15.31,16.07,3,15.69
"61",2020-08-19,12,9,15.73,15.31,16.07,4,15.69
"62",2020-08-19,16,6,15.265,14.29,15.81,5,15.05
"63",2020-08-19,20,3,14.4566666666667,14.29,14.54,6,14.415
"64",2020-08-19,24,1,14.29,14.29,14.29,7,14.29
"65",2020-08-20,0,12,14.925,14.8,15.05,1,14.925
"66",2020-08-20,4,12,14.945,14.54,15.05,2,14.795
"67",2020-08-20,8,9,14.8266666666667,14.54,15.05,3,14.795
"68",2020-08-20,12,3,14.8833333333333,14.8,15.05,4,14.925
"69",2020-08-20,16,5,14.748,14.54,14.8,5,14.67
"70",2020-08-20,24,3,14.7966666666667,14.54,15.05,6,14.795
"71",2020-08-20,28,5,14.542,14.29,14.8,7,14.545
"72",2020-08-20,32,4,14.3525,14.04,14.54,8,14.29
"73",2020-08-20,36,2,14.165,14.04,14.29,9,14.165
"74",2020-08-20,40,3,14.2066666666667,14.04,14.29,10,14.165
"75",2020-08-20,44,1,13.78,13.78,13.78,11,13.78
"76",2020-08-20,48,1,12.51,12.51,12.51,12,12.51
"77",2020-08-21,0,19,14.9852631578947,14.8,15.31,1,15.055
"78",2020-08-21,4,6,14.9666666666667,14.8,15.05,2,14.925
"79",2020-08-21,8,6,14.9666666666667,14.8,15.05,3,14.925
"80",2020-08-21,12,2,14.8,14.8,14.8,4,14.8
"81",2020-08-21,16,2,15.05,15.05,15.05,5,15.05
"82",2020-08-21,20,2,14.925,14.8,15.05,6,14.925
"83",2020-08-21,24,4,14.735,14.04,15.05,7,14.545
"84",2020-08-21,28,2,14.54,14.54,14.54,8,14.54
"85",2020-08-21,32,9,14.1488888888889,13.53,14.54,9,14.035
"86",2020-08-21,36,5,13.986,13.53,14.54,10,14.035
"87",2020-08-21,44,3,14.2066666666667,14.04,14.54,11,14.29
"88",2020-08-22,0,11,15.1463636363636,14.8,15.56,1,15.18
"89",2020-08-22,4,10,15.052,14.8,15.31,2,15.055
"90",2020-08-22,8,7,15.0157142857143,14.8,15.31,3,15.055
"91",2020-08-22,12,5,15.154,15.05,15.31,4,15.18
"92",2020-08-22,16,3,14.9666666666667,14.8,15.05,5,14.925
"93",2020-08-22,20,4,14.9875,14.8,15.05,6,14.925
"94",2020-08-22,24,4,14.86,14.54,15.05,7,14.795
"95",2020-08-22,28,6,14.7133333333333,14.04,15.05,8,14.545
"96",2020-08-22,32,4,14.2875,13.78,14.54,9,14.16
"97",2020-08-22,36,4,14.6075,14.29,14.8,10,14.545
"98",2020-08-22,40,2,14.545,14.29,14.8,11,14.545
"99",2020-08-23,0,3,15.1366666666667,15.05,15.31,1,15.18
"100",2020-08-23,4,5,15.05,15.05,15.05,2,15.05
"101",2020-08-23,8,3,14.9666666666667,14.8,15.05,3,14.925
"102",2020-08-23,12,5,15,14.8,15.05,4,14.925
"103",2020-08-23,16,9,15.05,15.05,15.05,5,15.05
"104",2020-08-23,20,11,14.9818181818182,14.8,15.05,6,14.925
"105",2020-08-23,24,10,14.925,14.8,15.05,7,14.925
"106",2020-08-23,28,8,14.83125,14.8,15.05,8,14.925
"107",2020-08-23,32,5,14.696,14.54,14.8,9,14.67
"108",2020-08-23,40,1,14.04,14.04,14.04,10,14.04
"109",2020-08-24,0,8,15.0825,15.05,15.31,1,15.18
"110",2020-08-24,4,15,15.0673333333333,15.05,15.31,2,15.18
"111",2020-08-24,8,7,15.0871428571429,15.05,15.31,3,15.18
"112",2020-08-24,12,3,15.05,15.05,15.05,4,15.05
"113",2020-08-24,16,4,15.05,15.05,15.05,5,15.05
"114",2020-08-24,20,10,15.076,15.05,15.31,6,15.18
"115",2020-08-24,24,4,14.925,14.8,15.05,7,14.925
"116",2020-08-24,28,7,14.9785714285714,14.8,15.05,8,14.925
"117",2020-08-24,32,1,14.8,14.8,14.8,9,14.8
"118",2020-08-24,36,1,14.8,14.8,14.8,10,14.8
"119",2020-08-25,0,11,14.8454545454545,14.8,15.05,1,14.925
"120",2020-08-25,4,5,14.9,14.8,15.05,2,14.925
"121",2020-08-25,8,5,14.9,14.8,15.05,3,14.925
"122",2020-08-25,12,8,14.8625,14.8,15.05,4,14.925
"123",2020-08-25,16,7,14.8714285714286,14.8,15.05,5,14.925
"124",2020-08-25,20,7,14.8714285714286,14.8,15.05,6,14.925
"125",2020-08-25,24,5,14.8,14.8,14.8,7,14.8
"126",2020-08-25,32,4,14.8,14.8,14.8,8,14.8
"127",2020-08-25,36,2,14.8,14.8,14.8,9,14.8
"128",2020-08-25,40,1,14.8,14.8,14.8,10,14.8
"129",2020-08-25,44,1,12.51,12.51,12.51,11,12.51
"130",2020-08-25,48,2,13.53,12.26,14.8,12,13.53
"131",2020-08-25,56,1,13.27,13.27,13.27,13,13.27
"132",2020-08-25,68,1,10.48,10.48,10.48,14,10.48
"133",2020-08-26,0,13,15.21,15.05,15.31,1,15.18
"134",2020-08-26,4,8,14.9875,14.8,15.05,2,14.925
"135",2020-08-26,8,3,15.05,15.05,15.05,3,15.05
"136",2020-08-26,12,4,14.925,14.8,15.05,4,14.925
"137",2020-08-26,16,4,14.735,14.29,15.05,5,14.67
"138",2020-08-26,20,5,14.696,14.54,14.8,6,14.67
"139",2020-08-26,24,5,14.8,14.8,14.8,7,14.8
"140",2020-08-26,28,5,14.8,14.8,14.8,8,14.8
"141",2020-08-26,32,4,14.605,14.54,14.8,9,14.67
"142",2020-08-26,36,4,14.355,13.78,14.8,10,14.29
"143",2020-08-26,40,4,14.6075,14.29,14.8,11,14.545
"144",2020-08-26,56,1,12.77,12.77,12.77,12,12.77
"145",2020-08-27,0,8,15.115,15.05,15.31,1,15.18
"146",2020-08-27,4,8,15.05,15.05,15.05,2,15.05
"147",2020-08-27,8,5,15.05,15.05,15.05,3,15.05
"148",2020-08-27,12,12,14.8191666666667,14.54,15.05,4,14.795
"149",2020-08-27,16,5,14.9,14.8,15.05,5,14.925
"150",2020-08-27,20,6,14.8,14.8,14.8,6,14.8
"151",2020-08-27,24,5,14.8,14.8,14.8,7,14.8
"152",2020-08-27,28,5,14.8,14.8,14.8,8,14.8
"153",2020-08-27,32,5,14.698,14.29,14.8,9,14.545
"154",2020-08-27,36,1,14.8,14.8,14.8,10,14.8
"155",2020-08-28,0,8,14.8,14.8,14.8,1,14.8
"156",2020-08-28,4,9,14.8277777777778,14.8,15.05,2,14.925
"157",2020-08-28,8,10,14.774,14.54,14.8,3,14.67
"158",2020-08-28,12,5,14.8,14.8,14.8,4,14.8
"159",2020-08-28,16,6,14.8416666666667,14.8,15.05,5,14.925
"160",2020-08-28,20,5,14.8,14.8,14.8,6,14.8
"161",2020-08-28,24,4,14.8,14.8,14.8,7,14.8
"162",2020-08-28,28,5,14.748,14.54,14.8,8,14.67
"163",2020-08-28,32,7,14.5442857142857,14.04,14.8,9,14.42
"164",2020-08-28,40,1,14.04,14.04,14.04,10,14.04
"165",2020-08-29,4,3,13.9533333333333,13.78,14.04,1,13.91
"166",2020-08-29,8,4,14.04,14.04,14.04,2,14.04
"167",2020-08-29,16,4,14.4175,14.04,14.8,3,14.42
"168",2020-08-29,20,10,14.57,14.04,15.05,4,14.545
"169",2020-08-29,24,19,14.4515789473684,14.04,14.8,5,14.42
"170",2020-08-29,28,9,14.6011111111111,14.04,14.8,6,14.42
"171",2020-08-29,32,4,14.67,14.54,14.8,7,14.67
"172",2020-08-29,36,4,14.61,14.04,14.8,8,14.42
"173",2020-08-29,40,1,14.29,14.29,14.29,9,14.29
"174",2020-08-29,56,1,10.99,10.99,10.99,10,10.99
"175",2020-08-29,60,1,11.24,11.24,11.24,11,11.24
"176",2020-08-30,0,6,15.265,15.05,15.56,1,15.305
"177",2020-08-30,4,7,14.8,14.8,14.8,2,14.8
"178",2020-08-30,8,10,14.724,14.04,14.8,3,14.42
"179",2020-08-30,12,7,14.6542857142857,14.04,14.8,4,14.42
"180",2020-08-30,16,4,14.6725,14.29,14.8,5,14.545
"181",2020-08-30,20,6,14.5433333333333,14.29,14.8,6,14.545
"182",2020-08-30,24,7,14.5785714285714,14.29,14.8,7,14.545
"183",2020-08-30,28,6,14.5866666666667,14.29,14.8,8,14.545
"184",2020-08-30,32,4,14.67,14.54,14.8,9,14.67
"185",2020-08-30,36,2,14.165,14.04,14.29,10,14.165
"186",2020-08-30,52,1,13.78,13.78,13.78,11,13.78
"187",2020-08-31,0,9,14.7711111111111,14.54,14.8,1,14.67
"188",2020-08-31,4,9,14.8,14.8,14.8,2,14.8
"189",2020-08-31,8,8,14.8,14.8,14.8,3,14.8
"190",2020-08-31,12,10,14.774,14.54,14.8,4,14.67
"191",2020-08-31,16,7,14.7257142857143,14.54,14.8,5,14.67
"192",2020-08-31,20,6,14.7133333333333,14.54,14.8,6,14.67
"193",2020-08-31,24,6,14.6733333333333,14.04,14.8,7,14.42
"194",2020-08-31,28,3,14.5433333333333,14.29,14.8,8,14.545
"195",2020-08-31,40,1,14.54,14.54,14.54,9,14.54
"196",2020-08-31,44,1,14.54,14.54,14.54,10,14.54
"197",2020-09-01,0,9,14.8,14.8,14.8,1,14.8
"198",2020-09-01,4,5,14.8,14.8,14.8,2,14.8
"199",2020-09-01,8,3,14.8,14.8,14.8,3,14.8
"200",2020-09-01,12,7,14.7628571428571,14.54,14.8,4,14.67
"201",2020-09-01,16,5,14.748,14.54,14.8,5,14.67
"202",2020-09-01,20,10,14.722,14.54,14.8,6,14.67
"203",2020-09-01,24,4,14.735,14.54,14.8,7,14.67
"204",2020-09-01,28,6,14.7133333333333,14.54,14.8,8,14.67
"205",2020-09-01,32,2,14.67,14.54,14.8,9,14.67
"206",2020-09-01,40,1,13.27,13.27,13.27,10,13.27
"207",2020-09-02,0,6,14.7133333333333,14.54,14.8,1,14.67
"208",2020-09-02,8,4,14.735,14.54,14.8,2,14.67
"209",2020-09-02,12,3,14.7133333333333,14.54,14.8,3,14.67
"210",2020-09-02,16,1,14.54,14.54,14.54,4,14.54
"211",2020-09-02,20,2,14.67,14.54,14.8,5,14.67
"212",2020-09-02,24,2,14.67,14.54,14.8,6,14.67
"213",2020-09-02,28,2,14.29,14.04,14.54,7,14.29
"214",2020-09-02,32,2,14.67,14.54,14.8,8,14.67
"215",2020-09-02,36,5,14.696,14.54,14.8,9,14.67
"216",2020-09-02,40,2,14.035,13.53,14.54,10,14.035
"217",2020-09-03,0,5,14.8,14.8,14.8,1,14.8
"218",2020-09-03,4,5,14.748,14.54,14.8,2,14.67
"219",2020-09-03,8,4,14.67,14.54,14.8,3,14.67
"220",2020-09-03,12,5,14.748,14.54,14.8,4,14.67
"221",2020-09-03,16,2,14.54,14.54,14.54,5,14.54
"222",2020-09-03,20,9,14.7422222222222,14.54,14.8,6,14.67
"223",2020-09-03,24,7,14.7628571428571,14.54,14.8,7,14.67
"224",2020-09-03,28,7,14.8,14.8,14.8,8,14.8
"225",2020-09-03,32,5,14.8,14.8,14.8,9,14.8
"226",2020-09-03,36,3,14.7133333333333,14.54,14.8,10,14.67
"227",2020-09-03,68,1,12.77,12.77,12.77,11,12.77
"228",2020-09-04,0,8,14.605,14.54,14.8,1,14.67
"229",2020-09-04,4,3,14.6266666666667,14.54,14.8,2,14.67
"230",2020-09-04,8,5,14.592,14.54,14.8,3,14.67
"231",2020-09-04,12,11,14.5636363636364,14.54,14.8,4,14.67
"232",2020-09-04,16,5,14.592,14.54,14.8,5,14.67
"233",2020-09-04,20,7,14.6885714285714,14.54,14.8,6,14.67
"234",2020-09-04,24,3,14.8,14.8,14.8,7,14.8
"235",2020-09-04,28,4,14.54,14.54,14.54,8,14.54
"236",2020-09-04,32,6,14.5833333333333,14.54,14.8,9,14.67
"237",2020-09-04,36,6,14.67,14.54,14.8,10,14.67
"238",2020-09-04,40,2,14.67,14.54,14.8,11,14.67
"239",2020-09-05,0,4,14.4775,14.29,14.54,1,14.415
"240",2020-09-05,4,11,14.4490909090909,14.29,14.54,2,14.415
"241",2020-09-05,8,12,14.4566666666667,14.29,14.54,3,14.415
"242",2020-09-05,12,5,14.39,14.29,14.54,4,14.415
"243",2020-09-05,16,6,14.4566666666667,14.29,14.54,5,14.415
"244",2020-09-05,20,2,14.54,14.54,14.54,6,14.54
"245",2020-09-05,24,1,14.54,14.54,14.54,7,14.54
"246",2020-09-05,28,6,14.54,14.54,14.54,8,14.54
"247",2020-09-05,32,5,14.49,14.29,14.54,9,14.415
"248",2020-09-05,36,3,14.4566666666667,14.29,14.54,10,14.415
"249",2020-09-05,40,3,14.4566666666667,14.29,14.54,11,14.415
"250",2020-09-05,44,1,14.29,14.29,14.29,12,14.29
"251",2020-09-05,96,1,11.24,11.24,11.24,13,11.24
"252",2020-09-06,0,5,14.798,14.54,15.05,1,14.795
"253",2020-09-06,4,9,14.9388888888889,14.8,15.05,2,14.925
"254",2020-09-06,8,4,14.7975,14.54,15.05,3,14.795
"255",2020-09-06,12,9,14.77,14.54,15.05,4,14.795
"256",2020-09-06,16,7,14.7628571428571,14.54,14.8,5,14.67
"257",2020-09-06,20,2,14.67,14.54,14.8,6,14.67
"258",2020-09-06,24,6,14.8,14.8,14.8,7,14.8
"259",2020-09-06,28,2,14.8,14.8,14.8,8,14.8
"260",2020-09-06,32,6,14.8,14.8,14.8,9,14.8
"261",2020-09-06,36,3,14.8,14.8,14.8,10,14.8
"262",2020-09-06,40,3,14.7133333333333,14.54,14.8,11,14.67
"263",2020-09-06,48,2,14.54,14.54,14.54,12,14.54
"264",2020-09-06,60,2,12.89,12.51,13.27,13,12.89
"265",2020-09-07,0,4,14.9875,14.8,15.05,1,14.925
"266",2020-09-07,4,8,14.9875,14.8,15.05,2,14.925
"267",2020-09-07,8,6,15.05,15.05,15.05,3,15.05
"268",2020-09-07,12,9,14.9666666666667,14.8,15.05,4,14.925
"269",2020-09-07,16,9,15.0222222222222,14.8,15.05,5,14.925
"270",2020-09-07,20,4,14.8625,14.8,15.05,6,14.925
"271",2020-09-07,24,5,14.9,14.8,15.05,7,14.925
"272",2020-09-07,28,5,14.95,14.8,15.05,8,14.925
"273",2020-09-07,32,4,14.8,14.8,14.8,9,14.8
"274",2020-09-07,36,2,14.8,14.8,14.8,10,14.8
"275",2020-09-07,40,1,14.8,14.8,14.8,11,14.8
"276",2020-09-07,44,2,13.91,13.02,14.8,12,13.91
"277",2020-09-07,48,1,14.54,14.54,14.54,13,14.54
"278",2020-09-08,0,6,15.01,14.8,15.31,1,15.055
"279",2020-09-08,4,8,15.02,14.8,15.31,2,15.055
"280",2020-09-08,8,9,14.8844444444444,14.8,15.31,3,15.055
"281",2020-09-08,12,10,14.951,14.8,15.31,4,15.055
"282",2020-09-08,16,7,15.0142857142857,14.8,15.05,5,14.925
"283",2020-09-08,20,10,15,14.8,15.05,6,14.925
"284",2020-09-08,24,3,14.9666666666667,14.54,15.31,7,14.925
"285",2020-09-08,28,6,15.0083333333333,14.8,15.05,8,14.925
"286",2020-09-08,56,1,13.78,13.78,13.78,9,13.78
"287",2020-09-09,0,8,15.08375,14.8,15.31,1,15.055
"288",2020-09-09,4,10,15.076,15.05,15.31,2,15.18
"289",2020-09-09,8,13,15.0515384615385,14.8,15.31,3,15.055
"290",2020-09-09,12,3,15.1366666666667,15.05,15.31,4,15.18
"291",2020-09-09,16,4,15.115,15.05,15.31,5,15.18
"292",2020-09-09,20,8,15.05125,14.8,15.31,6,15.055
"293",2020-09-09,24,7,15.05,15.05,15.05,7,15.05
"294",2020-09-09,28,3,14.8833333333333,14.8,15.05,8,14.925
"295",2020-09-09,32,2,15.05,15.05,15.05,9,15.05
"296",2020-09-09,40,2,14.42,14.04,14.8,10,14.42
"297",2020-09-10,0,19,14.6878947368421,14.54,15.31,1,14.925
"298",2020-09-10,4,6,14.54,14.54,14.54,2,14.54
"299",2020-09-10,8,5,14.898,14.54,15.31,3,14.925
"300",2020-09-10,12,3,14.71,14.54,15.05,4,14.795
"301",2020-09-10,16,6,14.965,14.54,15.05,5,14.795
"302",2020-09-10,20,4,14.9225,14.54,15.05,6,14.795
"303",2020-09-10,24,2,14.795,14.54,15.05,7,14.795
"304",2020-09-10,28,6,15.05,15.05,15.05,8,15.05
"305",2020-09-10,32,5,14.948,14.54,15.05,9,14.795
"306",2020-09-10,36,1,14.29,14.29,14.29,10,14.29
"307",2020-09-10,40,2,15.05,15.05,15.05,11,15.05
"308",2020-09-10,60,1,12,12,12,12,12
"309",2020-09-11,0,7,14.9414285714286,14.54,15.05,1,14.795
"310",2020-09-11,4,6,14.925,14.8,15.05,2,14.925
"311",2020-09-11,8,11,14.9572727272727,14.54,15.05,3,14.795
"312",2020-09-11,12,4,14.925,14.54,15.31,4,14.925
"313",2020-09-11,16,10,14.976,14.54,15.31,5,14.925
"314",2020-09-11,20,3,14.7966666666667,14.54,15.05,6,14.795
"315",2020-09-11,24,5,15.104,14.8,15.31,7,15.055
"316",2020-09-11,28,1,15.05,15.05,15.05,8,15.05
"317",2020-09-11,32,2,15.05,15.05,15.05,9,15.05
"318",2020-09-11,36,2,13.91,13.02,14.8,10,13.91
"319",2020-09-11,40,1,15.05,15.05,15.05,11,15.05
"320",2020-09-12,0,22,15.2163636363636,14.8,15.56,1,15.18
"321",2020-09-12,4,9,15.2222222222222,14.8,15.56,2,15.18
"322",2020-09-12,8,2,14.925,14.8,15.05,3,14.925
"323",2020-09-12,12,2,15.435,15.31,15.56,4,15.435
"324",2020-09-12,16,5,15.306,15.05,15.56,5,15.305
"325",2020-09-12,20,5,15.358,15.05,15.56,6,15.305
"326",2020-09-12,24,6,14.9683333333333,14.54,15.31,7,14.925
"327",2020-09-12,28,5,15.256,15.05,15.56,8,15.305
"328",2020-09-12,32,2,14.415,13.78,15.05,9,14.415
"329",2020-09-12,40,1,15.05,15.05,15.05,10,15.05
"330",2020-09-12,56,1,12,12,12,11,12
"331",2020-09-13,0,15,15.9166666666667,15.31,16.58,1,15.945
"332",2020-09-13,4,6,15.9833333333333,15.56,16.58,2,16.07
"333",2020-09-13,8,4,16.0075,15.31,16.58,3,15.945
"334",2020-09-13,12,4,15.815,15.31,16.32,4,15.815
"335",2020-09-13,16,5,16.116,15.81,16.32,5,16.065
"336",2020-09-13,20,6,16.1516666666667,15.81,16.32,6,16.065
"337",2020-09-13,24,6,15.52,15.05,16.07,7,15.56
"338",2020-09-13,28,3,15.6466666666667,15.31,16.32,8,15.815
"339",2020-09-13,32,1,16.32,16.32,16.32,9,16.32
"340",2020-09-13,36,2,15.18,14.04,16.32,10,15.18
"341",2020-09-13,40,3,16.15,15.81,16.32,11,16.065
"342",2020-09-13,44,4,14.1625,11.75,16.07,12,13.91
"343",2020-09-13,132,1,10.73,10.73,10.73,13,10.73
"344",2020-09-14,0,6,16.7883333333333,16.58,17.08,1,16.83
"345",2020-09-14,4,9,16.7744444444444,16.58,16.83,2,16.705
"346",2020-09-14,8,3,16.7466666666667,16.58,16.83,3,16.705
"347",2020-09-14,12,4,16.7675,16.58,16.83,4,16.705
"348",2020-09-14,16,3,16.7466666666667,16.58,16.83,5,16.705
"349",2020-09-14,20,2,16.83,16.83,16.83,6,16.83
"350",2020-09-14,24,1,16.83,16.83,16.83,7,16.83
"351",2020-09-14,28,2,16.83,16.83,16.83,8,16.83
"352",2020-09-14,32,1,16.83,16.83,16.83,9,16.83
"353",2020-09-14,36,7,16.7585714285714,16.58,16.83,10,16.705
"354",2020-09-14,40,7,16.6871428571429,16.58,16.83,11,16.705
"355",2020-09-14,44,4,16.5775,16.07,16.83,12,16.45
"356",2020-09-14,48,3,16.4066666666667,15.56,16.83,13,16.195
"357",2020-09-14,56,1,13.78,13.78,13.78,14,13.78
"358",2020-09-14,100,1,10.48,10.48,10.48,15,10.48
"359",2020-09-15,0,6,17.7633333333333,17.59,17.85,1,17.72
"360",2020-09-15,4,1,17.59,17.59,17.59,2,17.59
"361",2020-09-15,8,2,17.34,17.34,17.34,3,17.34
"362",2020-09-15,12,3,17.08,17.08,17.08,4,17.08
"363",2020-09-15,16,1,17.08,17.08,17.08,5,17.08
